objectId,image,is_rrl,class,coord_ra,coord_dec,p_est,period_ref,n_epochs
764113852060162046,obj764113852060162046.png,True,RRC,307.29598853172394,-19.795647158719554,0.41388825017245817,0.413966,41
764116394680796343,obj764116394680796343.png,False,non-variable,306.05376276827207,-19.402586017430366,0.5984042553191532,,33
764135361256381686,obj764135361256381686.png,True,RRAB,311.58965001718127,-19.593080026923637,0.5844155844155887,0.5845053918,53
765607538606481841,obj765607538606481841.png,True,RRC,284.9830178442405,-17.86460831699485,0.4637979902087139,0.463324,49
765635919750386927,obj765635919750386927.png,True,RRAB,292.25145851132055,-19.2926958446426,0.49113233287858593,0.4910786464,67
765661071078868445,obj765661071078868445.png,True,RRAB,297.59727639251827,-18.253315902857537,0.6056527590847955,0.6060389069,52
765700997094856825,obj765700997094856825.png,False,poor-fit,306.69703280645956,-18.47501028527779,0.6844106463878362,,51
765712060930608035,obj765712060930608035.png,True,RRAB,309.74754065038053,-19.24404053931208,0.5895840157222447,0.5895512886,49
765726698179153322,obj765726698179153322.png,True,RRC,313.98162412564363,-18.779040795643844,0.43646944713870506,0.436345,46
765752261824501195,obj765752261824501195.png,True,RRAB,319.92080137643546,-19.26957428032546,0.5099150141643106,0.5096100954,61
767128644224025252,obj767128644224025252.png,False,poor-fit,269.49349361258015,-17.391230126784276,0.6683995544003007,,34
767243474469674403,obj767243474469674403.png,False,non-variable,295.5058613697924,-17.775412867374005,0.456389452332662,,40
767269312992926122,obj767269312992926122.png,True,RRAB,299.08144058820807,-16.63229567982851,0.6915097963887855,0.6908973577,43
767304222487106691,obj767304222487106691.png,True,RRAB,307.2880404036049,-16.536951341360627,0.5878510777269802,0.587765712,59
767373697878084206,obj767373697878084206.png,True,RRC,322.44671770187534,-16.408587592252374,0.4355189934672199,0.43575093,97
768630783266017202,obj768630783266017202.png,True,RRAB,245.37412876277332,-14.951048267156198,0.5827128520556858,0.5822133907,55
768635387470959422,obj768635387470959422.png,False,non-variable,245.7729018417458,-15.58928347688705,0.4972375690607782,,44
768664043492760569,obj768664043492760569.png,True,RRAB,252.40652770211457,-15.221081471453784,0.6112054329371859,0.611005,46
768675657084326594,obj768675657084326594.png,False,non-variable,255.60107499393126,-15.697137493079463,0.5966191581040812,,40
768684659335782281,obj768684659335782281.png,True,RRAB,257.0754455734926,-15.180128392555735,0.45328632586250794,0.4534430109,42
768820036704946198,obj768820036704946198.png,False,poor-fit,287.7084642493918,-15.6207280338905,0.5138452754781663,,36
768844981875008558,obj768844981875008558.png,True,RRAB,293.39541267932964,-16.30215831658841,0.6446991404011501,0.6452341465,52
768895078373541880,obj768895078373541880.png,False,poor-fit,304.4048222272167,-15.940710002937205,0.6915097963887855,,69
768902293918602633,obj768902293918602633.png,False,poor-fit,306.69955766659234,-15.651396169568983,0.5099150141643106,,53
770258816389373523,obj770258816389373523.png,True,RRC,247.7008125414276,-13.531350431317916,0.40714770413933976,0.408349,41
770313242214946578,obj770313242214946578.png,False,non-variable,259.6217401058704,-13.662954967619056,0.4584819154355626,,42
770318945931509621,obj770318945931509621.png,True,RRAB,260.59397798652424,-14.037639874029654,0.42897998093422784,0.428943,42
770468616951839161,obj770468616951839161.png,False,non-variable,294.47243992954714,-14.463701940681048,0.44921387571749916,,40
770478856153878215,obj770478856153878215.png,True,RRAB,296.1512536407882,-13.50699477396476,0.5112184038625437,0.5115914886,44
770508680406780899,obj770508680406780899.png,True,RRC,303.133772560929,-14.721842188037796,0.4997223764575283,0.499845,46
770554241419859053,obj770554241419859053.png,False,poor-fit,313.4168248582872,-13.546831559258582,0.5506271030896344,,49
770568122754160573,obj770568122754160573.png,False,non-variable,316.21711933990036,-13.485873102884542,0.5948446794448159,,86
770724115966350235,obj770724115966350235.png,False,poor-fit,351.3609676667412,-14.027537085357393,0.5743458838545035,,32
771871799947322849,obj771871799947322849.png,True,RRAB,244.76782243908826,-12.498068639278454,0.4972375690607782,0.4976482806,60
771878122139176792,obj771878122139176792.png,True,RRAB,245.90812111133894,-12.802105569033094,0.618769336541771,0.6195752226,60
771892759387720395,obj771892759387720395.png,True,RRC,248.543096654665,-12.639154968447762,0.43934586282646315,0.439419,59
771893377863015962,obj771893377863015962.png,True,RRAB,248.62951060763052,-12.313249424842187,0.5630278385986908,0.5634935958,49
772145440903684922,obj772145440903684922.png,True,RRC,305.27816329979976,-12.873521435401516,0.40632054176072707,0.4060358,50
772150113828079733,obj772150113828079733.png,False,non-variable,307.01394239294865,-13.379533116225998,0.5521472392638083,,58
772161315102809086,obj772161315102809086.png,True,RRC,308.09527465065105,-12.360944578786642,0.4725649776844364,0.4740870242,46
772200622643500013,obj772200622643500013.png,False,poor-fit,316.803701808312,-12.949694348494232,0.464876033057856,,76
772205845323735797,obj772205845323735797.png,False,poor-fit,319.1505301404024,-13.182400706758365,0.4782146652497391,,40
773775260733425755,obj773775260733425755.png,True,RRAB,303.2205247394603,-11.141241553597574,0.6284916201117359,0.6274933438,49
773852157827897438,obj773852157827897438.png,False,poor-fit,319.94495211802524,-10.7267697236377,0.5743458838545035,,39
773895038781378108,obj773895038781378108.png,False,non-variable,328.26675398557074,-10.47403265806518,0.5521472392638083,,56
773900467620023688,obj773900467620023688.png,True,RRAB,329.96726129762214,-10.658337483195902,0.6446991404011501,0.6452667494,46
773905965178161589,obj773905965178161589.png,False,non-variable,331.41844078682766,-11.047090234845053,0.4182156133829044,,38
777136673937972548,obj777136673937972548.png,False,poor-fit,316.01913944847325,-7.922977225635586,0.4022346368715131,,30
777280984839111218,obj777280984839111218.png,False,non-variable,347.5480633849881,-8.011722028366657,0.4079782411604762,,60
778313701135504621,obj778313701135504621.png,False,non-variable,212.0044616188422,-6.01792285572569,0.5205320994794725,,380
778948462942093902,obj778948462942093902.png,True,RRAB,351.4763552221636,-6.992903853108227,0.6820765441455131,0.6822903336,47
780537257244250403,obj780537257244250403.png,False,poor-fit,335.06815706971736,-5.102005168815591,0.5373134328358254,,43
782245417277480310,obj782245417277480310.png,False,poor-fit,344.4313677967271,-4.389078418658734,0.5246283882250119,,40
782266170559451990,obj782266170559451990.png,False,non-variable,350.1868736369941,-4.255260482008467,0.6206896551724179,,43
787284960103909424,obj787284960103909424.png,False,non-variable,352.67040496448743,0.6308579912960524,0.7428807263722685,,53
788006583329128023,obj788006583329128023.png,False,non-variable,148.70882732400986,2.1982117187213994,0.44720496894410416,,264
794822868226562658,obj794822868226562658.png,False,poor-fit,187.42336582540776,7.998365531240283,0.40142729705620456,,545
